Y;X4
1722.106275;1764.3612
1719.065865;1752.818189
1725.73292;1752.41196
1711.26389;1751.37313
1716.349545;1750.59141
1718.97035;1761.05641
1719.28373;1754.02259
1716.765355;1756.89272
1715.69107;1758.77122
1714.761365;1751.74335
1714.32596;1753.95342
1727.47693;1752.29486
1722.79393;1759.04375
1727.617623;1758.533071
1720.271338;1759.7546
1724.51135;1760.2844
1721.58381;1759.06122
1713.22469;1750.28487
1720.08254;1754.67498
1721.064345;1752.48768
1723.840739;1751.589089
1713.430541;1759.2183
1720.354025;1754.74052
1724.986578;1752.282056
1726.919965;1758.35501
1733.671585;1751.29064
1710.218095;1751.91446
1716.371633;1757.314711
1720.01489;1754.68259
1718.877925;1747.50299
1728.174735;1754.9866
1718.91075;1752.64567
1723.393355;1757.4481
1716.12188;1751.74993
1725.80109;1763.17605
1721.6189;1753.881311
1715.63711;1758.75206
1713.013835;1752.26843
1718.222065;1755.02861
1717.97868;1751.87415
1717.626025;1753.21621
1725.20883;1759.09616
1714.200465;1755.143678
1714.35254;1739.9889
1727.15075;1760.84176
1723.914995;1755.2731
1717.54819;1757.69912
1718.40215;1751.27703
1722.180295;1761.04958
1722.660313;1748.7713
1728.82;1766.817767
1722.914965;1756.86435
1731.486175;1755.00358
1722.96701;1758.85284
1720.198715;1758.3355
1717.726511;1759.149078
1713.755095;1754.90155
1732.08838;1752.58213
1725.85253;1753.67697
1721.36629;1752.92097
1718.127865;1757.53189
1719.61205;1754.23446
1710.39265;1753.30935
1718.3974;1758.80361
1721.290575;1760.91949
1715.192124;1752.271838
1729.862975;1751.72948
1723.20502;1760.34586
1729.46008;1753.01809
1723.849688;1757.629463
1718.69426;1745.3431
1712.63992;1749.9647
1711.923838;1763.147963
1714.91804;1749.02621
1737.318657;1751.344986
1721.874026;1753.08753
1721.295995;1754.04764
1716.785035;1753.64573
1713.58138;1756.82166
1717.862795;1756.22847
1728.659915;1753.44945
1729.908885;1752.93403
1712.711743;1754.052467
1716.26506;1755.02719
1715.46342;1749.45359
1727.93161;1751.48664
1719.662545;1746.70252
1709.720367;1755.374
1720.416515;1757.91369
1716.23396;1753.89256
1721.51272;1757.43047
1725.039215;1757.58319
1715.00654;1756.49664
1720.913065;1756.58198
1707.155445;1760.57119
1722.132835;1756.94235
